,RLbC1,RLbC2,RLbC3,RLbC4,RLbC5,RLbC6,RXsC1,RXsC2,RXsC3,RXsC4,RXsC5,RXsC6
Curvibacter,6,12,5,16,7,0,23,27,11,1,4,16
Stenotrophomonas,1,6,2,0,0,0,22,39,21,3,4,27
Salinibacterium,7,2,1,0,2,0,25,15,41,2,7,16
Magnetospirillum,9,1,4,4,14,20,11,17,7,2,6,22
Thermomonas,3,1,1,1,3,0,23,19,18,6,21,21
Bosea,32,3,2,2,8,0,4,7,30,4,13,10
Niveispirillum,7,3,12,4,57,25,1,1,0,1,0,3
Azospira,1,4,0,1,1,1,26,17,32,0,2,26
Cystobacter,1,1,0,0,0,0,20,20,16,2,16,25
Dokdonella,0,2,1,3,2,1,24,20,12,0,3,29
Bauldia,5,3,5,8,0,2,24,18,8,2,6,13
Nitrospira,0,0,1,0,1,0,25,38,5,1,0,23
Comamonas,5,4,0,4,3,0,18,13,5,9,10,21
Hylemonella,0,0,0,0,0,0,0,0,86,2,0,0
Jatrophihabitans,0,3,0,1,1,0,13,14,8,13,10,24
Silanimonas,2,4,0,0,2,0,13,15,25,5,7,12
Steroidobacter,1,0,7,2,1,2,15,18,19,0,5,13
Terrabacter,3,0,0,0,3,4,26,9,12,6,6,13
Arenimonas,4,1,1,19,5,1,16,22,1,0,2,9
Chitinimonas,1,0,0,1,0,6,1,0,65,4,1,0
Sphingopyxis,10,1,0,3,1,0,6,5,40,7,2,3
Aquaspirillum,0,2,0,0,3,3,14,18,22,4,1,6
Ralstonia,2,3,1,1,2,1,24,8,18,5,4,4
Escherichia/Shigella,0,0,0,0,0,0,25,20,2,2,0,21
Amaricoccus,0,0,0,0,1,0,15,15,10,1,12,14
Byssovorax,0,0,2,7,6,0,22,9,0,11,2,7
Corallococcus,1,0,1,8,1,0,16,22,8,1,0,8
Leeia,1,0,0,1,0,0,23,16,6,0,0,18
Chitinophaga,0,6,0,5,3,0,9,18,10,0,2,10
Limnobacter,2,2,0,0,2,0,6,4,37,0,1,9
Mycobacterium,1,3,2,2,9,3,10,7,9,1,7,9
Sporobacter,2,12,2,1,11,7,4,6,2,4,9,3
Brucella,3,4,1,0,4,0,7,7,20,3,7,4
Halothiobacillus,7,12,0,1,0,0,7,1,2,5,19,1
Modestobacter,0,5,3,3,0,3,8,5,10,4,3,10
Kocuria,3,0,0,1,0,0,2,1,2,0,43,1
Leifsonia,2,0,0,0,1,1,4,7,7,19,7,5
Pelotomaculum,6,7,1,0,1,0,10,8,9,4,2,4
Solirubrobacter,0,0,0,0,0,0,18,13,3,0,5,12
Vasilyevaea,5,1,5,12,4,0,8,7,3,0,1,5
Alsobacter,4,1,2,6,1,1,9,7,2,0,9,8
Cryobacterium,0,2,0,0,0,0,19,12,3,3,4,7
Gimesia,0,0,0,0,0,0,0,49,0,0,0,0
Kinneretia,0,0,1,16,3,2,2,5,14,0,0,6
Ferrovum,0,1,1,1,0,0,6,13,17,1,0,8
Methylophilus,1,1,3,4,12,5,5,6,6,1,0,4
Turneriella,2,0,0,0,2,5,8,6,0,5,12,7
Beijerinckia,0,2,3,2,5,4,10,5,5,0,5,5
Pirellula,0,0,0,0,0,0,0,46,0,0,0,0
Roseomonas,1,0,0,4,2,0,7,6,2,9,9,4
Methyloversatilis,2,2,0,1,18,7,3,5,2,0,1,2
Oxalicibacterium,0,1,4,4,8,13,1,1,8,0,1,2
Paludibacter,1,1,2,0,9,3,5,6,0,3,2,11
Ramlibacter,0,3,5,6,0,2,5,9,3,3,3,4
Gallionella,0,1,0,1,1,0,11,9,9,0,2,7
Phreatobacter,0,1,1,0,29,8,1,0,0,0,1,0
Phyllobacterium,1,1,1,2,0,0,10,5,5,2,4,9
Parachlamydia,1,0,0,1,1,1,13,5,1,2,6,8
Herbaspirillum,0,0,1,1,1,0,8,6,13,2,0,5
Sterolibacterium,4,0,0,0,0,0,13,6,2,1,0,11
Thauera,0,0,0,0,0,0,5,3,6,17,4,1
Georgfuchsia,1,5,5,1,0,0,7,2,4,3,3,4
Actinomadura,1,0,0,5,2,0,7,7,3,1,4,4
Erythrobacter,0,0,0,0,1,9,4,1,15,1,1,2
Aciditerrimonas,0,0,0,0,0,0,9,6,6,0,3,9
Ancylobacter,12,3,1,4,4,3,4,0,1,0,0,0
Methylocella,1,0,0,1,1,0,6,4,7,4,1,7
